name,engname,id,genre
크리스터치킨,cristerchicken,10809579,치킨 (Chicken)
썬더치킨 신촌연대점,thunderchicken,17066324,치킨 (Chicken)
금별맥주,geumbyeolmaekju,1873432888,주점 (Pub/Bar)
제임스시카고피자,jeimseusikagopija,26591985,양식 (Western)
라화쿵부,rahwakungbu,357243716,마라탕 (Malatang)
목구멍,mokgumeong,1809940763,고기구이 (BBQ)
자연담은화로,jayeondameunhwaro,18757209,고기구이 (BBQ)
미도매운향솥,midomaeunhyangsot,580642361,마라탕 (Malatang)
폼프리츠,pommepritz,19238297,주점 (Pub/Bar)
백암순대국,baegamsundaeguk,27306326,한식 (Korean)
머노까머나,meonokkameona,1036192129,아시안 (Asian)
은화수식당 신촌점,eunhwasusikdang,926567421,양식 (Western)
굽네치킨,gubnechicken,18946272,치킨 (Chicken)
평화김해뒷고기,pyeonghwagimhaedwisgogi,2071704405,고기구이 (BBQ)
스타벅스 연대점,starbucks yondaejeom,10538286,카페 (Cafe)
맥도날드 연세대점,mcdonalds,18606733,햄버거 (Hamburger)
책다방 위숨,chaekdabang wisum,124990348,카페 (Cafe)
240H,240H,341724032,고기구이 (BBQ)
신촌양꼬치,sinchonyangkkochi,13595450,중식 (Chinese)
바플라이,barfly,21325326,주점 (Pub/Bar)
연세로갈매기,yeonseirogalmaegi,412039278,고기구이 (BBQ)
백야,baekya,1924510030,일식 (Japanese)
고래고래회&해산물포차,goraegoraehoe&haesanmulpocha,27266640,해산물 (Seafood)
육회본가,yukhoebonga,688091506,한식 (Korean)
투다리 신촌2점,tudari sinchon2jeom,18168122,주점 (Pub/Bar)
정통집,jeongtongjip,398715963,고기구이 (BBQ)
가막새,gamaksae,8734699,주점 (Pub/Bar)
샤브로21,syabeuro21,865216216,한식 (Korean)
블랙번즈,blackburns,693248561,카페 (Cafe)
고삼이,gosami,17505297,한식 (Korean)
태양곱창,taeyanggopchang,1007453042,한식 (Korean)
송준옥,songjunok,265774533,한식 (Korean)
홍초불닭,hongchobuldak,14823305,한식 (Korean)
홍미닭발,hongmidakbal,11951868,한식 (Korean)
착한곱창,chakhangopchang,1212311455,한식 (Korean)
소우오뎅,souodeng,27242554,주점 (Pub/Bar)
컴포즈커피 신촌연세대점,composecoffee,176933825,카페 (Cafe)
대포찜닭,daepojjimdak,1583163978,한식 (Korean)
공차 신촌연세로점,gongcha,19749731,카페 (Cafe)
네이버후드,neighborhood,24912439,주점 (Pub/Bar)
야바이,yabai,11634686,일식 (Japanese)
삼미마라탕,sammimalatang,2140602239,마라탕 (Malatang)
파샤케밥,pashakebab,160444812,아시안 (Asian)
송아저씨빈대떡,songajeossibindaetteok,8433025,한식 (Korean)
BBQ 신촌점,BBQ sinchonjeom,1536533852,치킨 (Chicken)
야키토리연,yakitoriyeon,48102528,일식 (Japanese)
미진축산 신촌점,mijinchuksan,1410278937,고기구이 (BBQ)
인쌩맥주,inssaengmaekju,2042690043,주점 (Pub/Bar)
버거킹 연세로점,burgerking yonseirojeom,21556767,햄버거 (Hamburger)
설빙,seolbing,24879347,카페 (Cafe)
카츠미,katsumi,1446486364,일식 (Japanese)
메가MGC커피 신촌점,megamgccoffee,1843190721,카페 (Cafe)
술익는마을,surikneunmaeul,9851414,주점 (Pub/Bar)
아마,ama,12421976,아시안 (Asian)
도주 돗가비수블,doju dosgabisubeul,1000008966,주점 (Pub/Bar)
연대포,yondaepo,15516966,주점 (Pub/Bar)
신촌고기창고,sinchongogichanggo,8754048,고기구이 (BBQ)
하우스라운지,houselounge,1614398403,주점 (Pub/Bar)
소문난집,somunnanjip,7952101,고기구이 (BBQ)
삼미당,sammidang,1220684983,일식 (Japanese)
신촌부추곱창,sinchonbuchugopchang,1935068300,한식 (Korean)
삼미식당 신촌점,sammisikdang,201333871,고기구이 (BBQ)
역전할머니맥주,yeokjeonhalmeonimaekju,1078291399,주점 (Pub/Bar)
당나발포차,dangnabalpocha,743477680,주점 (Pub/Bar)
맨도롱식당,maendorongsikdang,764748369,한식 (Korean)
구이마을 1호점,guimaeul 1-hojeom,10135981,고기구이 (BBQ)
다모토리5,damotori5,27242546,주점 (Pub/Bar)
지코바 신촌점,gcova,1241003320,치킨 (Chicken)
고향 신촌,gohyang,12544997,고기구이 (BBQ)
동대문엽기떡볶이 신촌점,dongdaemunyeopgitteokbokki,17764441,한식 (Korean)
춘천집닭갈비 본사직영철판구이,chuncheonjiptalkgalbi,17884068,한식 (Korean)
육쌈냉면,yukssamnaengmyeon,27594293,한식 (Korean)
153구포국수,153gupoguksu,1256103741,한식 (Korean)
우동가조쿠,udongajoku,1160906124,일식 (Japanese)
강릉회수산,gangreunghoesusan,21340837,해산물 (Seafood)
소신이쏘,sosinisso,26522526,한식 (Korean)
지오짱조개구이,jiojjangjogaegui,8086735,해산물 (Seafood)
더진국 신촌점,deojinguk,1194684656,한식 (Korean)
가화만사성,gahwamansaseong,1536467186,중식 (Chinese)
타오마라탕,taomalatang,2027326489,마라탕 (Malatang)
오마카세오사이초밥 신촌점,omakaseosaichobap,1753276631,일식 (Japanese)
육전국밥,yukjeongukbap,522406189,한식 (Korean)
더파이홀,thepiehole,1011256721,카페 (Cafe)
뽁식당,ppoksikdang,298384195,양식 (Western)
호루몬우직,horumonujik,1751078118,일식 (Japanese)
미스타교자,mistagyoja,1961495503,중식 (Chinese)
다성수산,daseongsusan,8223584,해산물 (Seafood)
통큰갈비,tongkeungalbi,69756475,고기구이 (BBQ)
돈불1971,donbul1971,26874707,고기구이 (BBQ)
파티오,patio,26967143,카페 (Cafe)
아저씨네낙지찜,ajeossinenakjijjim,20225173,해산물 (Seafood)
살롱드느루,salondeneuru,164265405,주점 (Pub/Bar)
신촌간이회집,sinchonganihoejip,15961528,해산물 (Seafood)
부탄츄,butanchyu,21572456,일식 (Japanese)
미분당,mifendang,1985785355,아시안 (Asian)
보승회관,boseunghoegwan,2135513146,한식 (Korean)
파파,papa,8581817,카페 (Cafe)
카츠업,katsuup,940447278,일식 (Japanese)
원조감자탕,wonjogamjatang,21232079,한식 (Korean)
담산 신촌본점,damsan,1480854338,한식 (Korean)
종로김밥,jongrogimbap,11289952,한식 (Korean)
KFC 신촌역점,KFC sinchonyeokjeom,692703127,햄버거 (Hamburger)
이디야커피 신촌역점,ediyacoffee,24757193,카페 (Cafe)
신촌수제비,sinchonsujebi,12502450,한식 (Korean)
트리클커피,tricklecoffee,1821737764,카페 (Cafe)
